alias,mature,safe
vox_plr_0_ammo_low_0,I'm burning powder over here!,I'm burning powder over here!
vox_plr_0_ammo_low_1,Getting really low on ammo.,Getting really low on ammo.
vox_plr_0_ammo_low_2,This keeps up! I'm gonna be all out!,This keeps up! I'm gonna be all out!
vox_plr_0_ammo_low_3,I only got a few rounds.,I only got a few rounds.
vox_plr_0_ammo_low_4,I'm low on lead!,I'm low on lead!
vox_plr_0_ammo_out_0,Keep them all from me! I'm all out!,Keep them all from me! I'm all out!
vox_plr_0_ammo_out_1,"Ah shit, I got no ammo!",Oh no! Ammo's gone!
vox_plr_0_ammo_out_2,I ain't got a fucking single bullet!,I ain't got a single bullet!
vox_plr_0_ammo_out_3,Ow! I think my luck's run out!,Ow! I think my luck's run out!
vox_plr_0_ammo_out_4,I can't shoot without slugs!,I can't shoot without slugs!
vox_plr_0_anim_intro1_0,"Hey Sal, we must have been through this 50 times already.","Hey Sal, we must have been through this 50 times already."
vox_plr_0_anim_intro27_0,Where are those screams coming from?,Where are those screams coming from?
vox_plr_0_anim_intro8_0,"I'm working on it, right now.","I'm working on it, right now."
vox_plr_0_box_move_0,Looks like I just rolled snake eyes.,Looks like I just rolled snake eyes.
vox_plr_0_box_move_1,I guess I backed the wrong fucking horse.,I guess I backed the wrong horse.
vox_plr_0_box_move_2,Don't play games with me. I don't always play nice.,Don't play games with me. I don't always play nice.
vox_plr_0_box_move_3,This is fucking bullshit.,This sucks.
vox_plr_0_box_move_4,"So, you think I don't know a fucking scam when I see it?",You think I don't know a scam when I see it?
vox_plr_0_box_use_0,"Okay, don't take too long now, I got troubles of my own.","Okay, don't take too long now, I got troubles of my own."
vox_plr_0_box_use_1,What the fuck is taking so long?,What's taking so long?
vox_plr_0_box_use_2,"Hurry it up, let's go!","Hurry it up, let's go!"
vox_plr_0_box_use_3,"I'll wait, but it better be worth it.","I'll wait, but it better be worth it."
vox_plr_0_box_use_4,Don't try to grift a grifter because it won't end well.,Don't try to grift a grifter because it won't end well.
vox_plr_0_bridge_var1_3_0,"Yeah, what about that? How come you know more than the~rest of us?","Yeah, what about that? How come you know more than the~rest of us?"
vox_plr_0_bridge_var2_12_0,Anyone else more than a little creeped out by all this?,Anyone else more than a little creeped out by all this?
vox_plr_0_bridge_var2_2_0,Sure we have. It's the Golden Gate Bridge.,Sure we have. It's the Golden Gate Bridge.
vox_plr_0_bridge_var2_6_0,Look at those fireworks. New Year's Eve. Maybe I'll find~myself abroad and bring in the year with style.,Look at those fireworks. New Year's Eve. Maybe I'll find~myself abroad and bring in the year with style.
vox_plr_0_bridge_var5_1_0,Where the fuck are we?,Where are we?
vox_plr_0_bridge_var5_3_0,"No, no, no, no. Where the fuck are we really?",No. Where are we really?
vox_plr_0_bridge_var6_13_0,I don't think we're getting out. Not now. Not ever.,I don't think we're getting out. Not now. Not ever.
vox_plr_0_bridge_var6_7_0,He's right. I can't remember a damn thing. This don't make~no sense.,He's right. I can't remember a thing. This don't make no~sense.
vox_plr_0_brutus_arrival_0,Didn't we put that fucker down already?,Didn't we kill him already?
vox_plr_0_brutus_defeated_0,That was a fucking drag out brawl for sure.,That was a drag-out brawl for sure.
vox_plr_0_brutus_defeated_1,"That's the end of that. For a little while, at least.","That's the end of that. For a little while, at least."
vox_plr_0_brutus_defeated_2,Don't bother coming back! We'll only have to kill you all~over again!,Don't bother coming back! We'll only have to kill you all~over again!
vox_plr_0_brutus_encounter_0,That doesn't sound good.,That doesn't sound good.
vox_plr_0_build_bsm_add_0,"Hurry up, I ain't got no time for a jammer.","Hurry up, I ain't got no time for a jammer."
vox_plr_0_build_bsm_add_1,"Alright, okay, that fits like a glove.","Alright, okay, that fits like a glove."
vox_plr_0_build_bsm_add_2,It's starting to take shape now. What the fuck is it?,"Starting to take shape now, what is it?"
vox_plr_0_build_bsm_final_0,"Okay, it's done. What, it's supposed to do something?","Okay, it's done. What, it's supposed to do something?"
vox_plr_0_build_bsm_final_1,"Wait a second, didn't we have one of these before? It~looks kind of familiar.","Wait a second, didn't we have one of these before? It~looks kind of familiar."
vox_plr_0_build_bsm_final_2,Anyone got that blunder thing? I think it's meant to go in~here.,Anyone got that blunder thing? I think it's meant to go in~here.
vox_plr_0_build_bsm_pickup_0,Maybe this is part of that machine that Weasel was gabbing~about.,Maybe this is part of that machine that Weasel was gabbing~about.
vox_plr_0_build_bsm_pickup_1,We should find the other parts and work out what the fuck~this is.,We should find the other parts and work out what this is.
vox_plr_0_build_bsm_pickup_2,I think these pieces are important. They don't fuck knows~why.,"I think these pieces are important, but who knows why."
vox_plr_0_build_bsm_plc_0,"That's a fucking lightning rod, alright?","That's a lightning rod, alright."
vox_plr_0_build_plane_0,You know it's hard to believe a nitwit like Arlington~could plan all this on paper.,You know it's hard to believe a nitwit like Arlington~could plan all this on paper.
vox_plr_0_build_zs_add_0,It looks like there's still a piece missing.,It looks like there's still a piece missing.
vox_plr_0_build_zs_add_1,"I'm good with my hands, but I've never really been one for~hard labor, if you know what I mean.","I'm good with my hands, but I've never really been one for~hard labor, if you know what I mean."
vox_plr_0_build_zs_add_2,"Listen, keep an eye on my back while I'm trying to finagle~this thing together.","Listen, keep an eye on my back while I'm trying to finagle~this thing together."
vox_plr_0_build_zs_add_3,"I put it together, just like Weasel said.","I put it together, just like Weasel said."
vox_plr_0_build_zs_final_0,"It's a fine looking shield, alright?","It's a fine looking shield, alright?"
vox_plr_0_build_zs_final_1,"It's payday, boys. We all get a shield.","It's payday, boys. We all get a shield."
vox_plr_0_build_zs_pickup_0,"With a few more parts, maybe we'll have something useful.","With a few more parts, maybe we'll have something useful."
vox_plr_0_build_zs_pickup_1,This looks like it should fit with something else.,This looks like it should fit with something else.
vox_plr_0_build_zs_pickup_2,"We should take this to a workbench, see what we can throw~together.","We should take this to a workbench, see what we can throw~together."
vox_plr_0_build_zs_plc_0,Alright! I should keep those fucking crusties off my back~for a bit.,Alright! This should keep those ugly punks off of my back~for a bit.
vox_plr_0_chair_electrocution_0,I'll see you all in hell!,I'll see you all in...
vox_plr_0_chair2_var3_0,"Let me guess, you don't remember writing it.","Let me guess, you don't remember writing it."
vox_plr_0_chair3_var_3_0,"At this point, I'm about ready to believe anything.","At this point, I'm about ready to believe anything."
vox_plr_0_chair4_var_4_0,Where the fuck did those electric chairs come from?,Where did those electric chairs come from?
vox_plr_0_crawler_attack_0,What are you doing? Trying to annoy me to death?,What are you doing? Trying to annoy me to death?
vox_plr_0_crawler_attack_1,"You still got some fight in you, huh?","You still got some fight in you, huh?"
vox_plr_0_crawler_attack_2,So I'm gonna shoot this prick.,Hey! Someone gonna shoot this punk?
vox_plr_0_crawler_attack_3,I'll deal with you in a minute.,I'll deal with you in a minute.
vox_plr_0_crawler_attack_4,How the hell are you still kicking?,How are you still kicking?
vox_plr_0_crawler_kill_0,You should have just crawled somewhere else.,You should have just crawled somewhere else.
vox_plr_0_crawler_kill_1,Enough! Alright!,Enough! Alright!
vox_plr_0_crawler_kill_2,Didn't I rub you out already?,Didn't I rub you out already?
vox_plr_0_crawler_kill_3,"Damn, thought he'd never shut up.",That's enough of that!
vox_plr_0_crawler_start_0,"Quit making so much noise, Stumpy.","Quit making so much noise, Stumpy."
vox_plr_0_crawler_start_1,What do you say we split the difference?,What do you say we split the difference?
vox_plr_0_crawler_start_2,Calm your liver and I'll deal with you soon enough.,Calm your liver and I'll deal with you soon enough.
vox_plr_0_crawler_start_3,That one ain't dead yet.,That one ain't dead yet.
vox_plr_0_crawler_start_4,Didn't I tell you I'd cut you down?,Didn't I tell you I'd cut you down?
vox_plr_0_discover_box_0,It is a weird fucking box in here. Should we bust it open?,"Hey, there's a weird box in here. Should we bust it open?"
vox_plr_0_discover_trap_0,"This wasn't here yesterday, was it?","This wasn't here yesterday, was it?"
vox_plr_0_discover_trap_1,I'm gonna hit this switch and see what happens.,I'm gonna hit this switch and see what happens.
vox_plr_0_discover_trap_2,Did we set up this trap?,Did we set up this trap?
vox_plr_0_discover_wall_buy_0,"Well, that's a new one on me.","Well, that's a new one on me."
vox_plr_0_during_1_oh_shit5_0,What happened to the other prisoners?,What happened to the other prisoners?
vox_plr_0_earn_acheivement_0,What the hell was that about?,What was that about?
vox_plr_0_earn_acheivement_1,"Listen, I don't fucking care unless there's something in~it for me.","Unless there's something in it for me, I don't really~care."
vox_plr_0_electric_zap_0,I think the electric supply needs a little jolt. Know what~I mean?,I think the electric supply needs a little jolt. Know what~I mean?
vox_plr_0_electric_zap_1,Where am I supposed to find all those fucking bolts?,Where am I supposed to find all those fucking bolts?
vox_plr_0_end_scenario_0,Look who's palling around with the weasel.,Look who's palling around with the weasel.
vox_plr_0_end_scenario_1,I had a feeling it was you from the start.,I had a feeling it was you from the start.
vox_plr_0_end_scenario_2,You're going down for good.,You're going down for good.
vox_plr_0_find_map_0,Does anyone else remember planning this year?,Does anyone else remember planning this year?
vox_plr_0_find_secret_0,"Listen, these bastards gotta go to sleep. They need a~lullaby.",How about a lullaby to put these uglies to sleep?
vox_plr_0_finn_electrocution_0,AHHHH!,AHHHH!
vox_plr_0_finn_electrocution_1,AHHHH!,AHHHH!
vox_plr_0_finn_self_0,"You're a smart guy, aren't you Finn? Smarter than the~others for sure.","You're a smart guy, aren't you Finn? Smarter than the~others for sure."
